codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1700010,DGA,dga_web,Huara En Fuerte Baquedano,1100,-20.1308,-69.7497,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1993-02-01,2019-12-31,8308,2019-02-27
1051004,DGA,dga_web,Altos Del Huasco,4044,-20.1703,-68.7703,10,Altiplanicas,105,Salar Del Huasco,2011-12-01,2016-12-30,1449,-
1750002,DGA,dga_web,Sagasca,1822,-20.2033,-69.3397,17,Pampa Del Tamarugal,175,Quebradas Juan Morales Sagasca  Y El Tambillo,1977-09-01,1998-11-30,6236,-
1820001,DGA,dga_web,Iquique,50,-20.2153,-70.1361,18,Costeras Tilviche-Loa,182,Pampas El Carmen Y De La Union,1984-08-01,2019-12-31,12676,2019-04-02
1051003,DGA,dga_web,Salar Huasco,3800,-20.2761,-68.8861,10,Altiplanicas,105,Salar Del Huasco,1981-03-01,1982-06-30,457,-
1050010,DGA,dga_web,Sillillica,3840,-20.3219,-68.8936,10,Altiplanicas,105,Salar Del Huasco,2011-12-01,2016-02-28,1427,-
1700008,DGA,dga_web,Esmeralda,1115,-20.4842,-69.3814,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1966-09-01,1972-12-31,1069,-
1700009,DGA,dga_web,Coposa,3760,-20.7086,-68.6942,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1982-12-01,2019-11-30,8577,-
2113005,DGA,dga_web,Guatacondo Dga,2460,-20.9272,-69.0456,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1977-09-01,2019-11-30,15094,-
1770001,DGA,dga_web,Copaquire,3540,-20.9303,-68.8922,17,Pampa Del Tamarugal,177,Quebrada De Chacarilla,1977-09-01,2011-04-30,10587,-
